iter	RMSE
0	2887.022611
1	2881.34138
2	2873.892776
3	2866.315641
4	2857.038868
5	2851.897717
6	2847.450513
7	2840.630367
8	2834.999395
9	2829.666263
10	2825.032867
11	2817.556348
12	2809.697057
13	2806.125787
14	2804.204222
15	2799.163297
16	2794.660548
17	2788.678279
18	2785.661513
19	2781.147412
20	2775.223924
21	2771.967342
22	2767.993589
23	2765.788157
24	2760.373953
25	2754.268634
26	2748.097739
27	2741.486211
28	2737.197188
29	2732.285777
30	2729.465085
31	2725.572515
32	2721.498423
33	2717.931949
34	2714.10633
35	2708.228551
36	2704.516169
37	2700.060725
38	2694.076463
39	2688.695389
40	2685.955628
41	2682.945156
42	2678.105993
43	2675.444374
44	2671.715391
45	2666.275532
46	2661.095803
47	2656.183325
48	2650.314386
49	2646.562612
50	2641.931063
51	2637.083043
52	2630.654817
53	2627.764943
54	2624.489307
55	2621.36762
56	2615.204846
57	2611.188548
58	2609.695977
59	2605.454854
60	2602.131797
61	2599.17684
62	2591.846583
63	2587.280148
64	2583.703384
65	2577.676115
66	2573.902194
67	2568.227159
68	2563.924648
69	2559.490716
70	2555.696245
71	2553.766985
72	2550.49583
73	2547.687608
74	2543.568675
75	2539.708619
76	2535.932491
77	2532.043277
78	2529.644673
79	2523.759067
80	2517.964856
81	2515.090084
82	2511.88365
83	2509.043268
84	2503.6009
85	2499.655013
86	2496.73352
87	2493.15278
88	2489.835219
89	2486.828203
90	2484.82289
91	2482.21919
92	2479.329392
93	2474.318386
94	2471.605661
95	2468.585345
96	2465.289817
97	2460.645492
98	2458.474638
99	2454.710706
100	2451.560577
101	2447.486515
102	2443.37344
103	2437.843391
104	2433.289276
105	2430.590394
106	2426.888522
107	2423.526334
108	2420.356863
109	2417.913795
110	2415.120091
111	2413.685874
112	2410.053146
113	2405.908181
114	2403.913105
115	2400.760644
116	2396.037197
117	2392.435162
118	2390.296786
119	2387.37518
120	2382.35619
121	2379.348252
122	2375.513295
123	2371.492854
124	2366.934355
125	2363.174331
126	2360.929872
127	2355.420904
128	2352.396685
129	2350.403366
130	2347.530776
131	2344.354379
132	2340.080812
133	2333.841786
134	2331.115004
135	2327.285733
136	2322.585796
137	2318.706193
138	2315.562343
139	2313.151624
140	2309.934134
141	2307.812473
142	2305.94561
143	2302.952936
144	2300.196864
145	2296.889085
146	2293.766735
147	2291.471966
148	2288.728615
149	2283.33729
150	2278.759226
151	2275.864174
152	2273.149118
153	2270.439452
154	2267.743936
155	2264.671006
156	2260.853618
157	2256.223266
158	2251.976736
159	2247.05909
160	2244.888165
161	2243.016495
162	2239.703404
163	2238.448645
164	2232.644773
165	2229.476253
166	2227.267363
167	2223.304659
168	2219.783087
169	2217.936712
170	2214.272381
171	2210.52972
172	2206.263638
173	2202.972649
174	2199.776176
175	2195.990493
176	2193.672738
177	2191.379863
178	2186.950202
179	2183.067823
180	2179.834308
181	2177.127103
182	2174.684408
183	2172.887408
184	2168.937381
185	2165.25287
186	2160.121787
187	2158.031748
188	2154.367496
189	2151.343379
190	2149.021384
191	2147.618836
192	2145.623348
193	2143.552268
194	2141.793188
195	2137.83286
196	2135.783311
197	2134.173159
198	2130.87526
199	2128.507765
200	2127.066708
201	2124.659443
202	2122.279415
203	2119.697849
204	2117.289503
205	2114.307441
206	2111.484243
207	2108.929922
208	2105.53305
209	2102.974358
210	2100.813733
211	2099.258359
212	2096.983698
213	2093.20628
214	2088.759529
215	2086.758546
216	2084.97453
217	2082.848764
218	2081.593733
219	2080.535798
220	2078.257476
221	2075.744084
222	2072.995361
223	2070.631188
224	2068.703769
225	2067.392956
226	2064.965806
227	2062.300801
228	2060.006817
229	2056.555619
230	2054.486192
231	2050.989739
232	2049.304129
233	2045.880766
234	2044.699895
235	2041.163727
236	2039.465199
237	2036.443499
238	2034.701327
239	2032.113032
240	2031.062695
241	2029.640521
242	2026.530764
243	2022.742535
244	2020.858683
245	2017.778295
246	2015.964656
247	2013.277914
248	2010.003475
249	2007.97377
250	2005.392249
251	2004.061466
252	2002.028357
253	1998.845759
254	1997.635427
255	1994.593934
256	1992.310078
257	1989.350471
258	1985.906383
259	1984.327542
260	1982.702314
261	1980.745043
262	1979.37018
263	1977.032648
264	1974.30835
265	1972.058735
266	1969.35327
267	1967.625459
268	1964.417196
269	1963.403629
270	1961.230388
271	1957.392034
272	1955.943569
273	1954.559789
274	1952.516866
275	1950.171485
276	1948.797505
277	1947.730673
278	1946.312508
279	1942.141675
280	1940.896298
281	1939.079337
282	1936.861942
283	1935.249347
284	1931.960253
285	1929.501304
286	1926.728382
287	1924.951567
288	1922.346673
289	1921.056807
290	1919.637004
291	1918.167754
292	1916.611837
293	1914.836842
294	1911.82212
295	1910.225362
296	1909.099046
297	1907.256159
298	1905.438812
299	1902.122236
300	1900.548618
301	1898.725164
302	1896.279469
303	1894.716536
304	1893.355055
305	1892.067613
306	1890.365405
307	1888.515016
308	1886.63693
309	1885.088316
310	1882.749069
311	1880.280427
312	1877.541264
313	1876.704611
314	1874.469618
315	1871.985659
316	1869.78111
317	1867.683432
318	1866.485497
319	1865.333014
320	1862.823985
321	1861.392085
322	1857.943311
323	1855.367363
324	1852.698359
325	1851.791073
326	1849.204733
327	1847.982143
328	1846.15509
329	1844.259425
330	1842.183785
331	1839.460115
332	1837.234419
333	1834.873437
334	1832.967602
335	1831.671243
336	1829.416042
337	1828.473829
338	1827.315997
339	1825.728301
340	1824.530534
341	1823.012044
342	1821.719929
343	1820.19053
344	1819.095127
345	1818.144047
346	1815.790273
347	1812.696031
348	1812.123891
349	1811.402692
350	1809.448757
351	1807.424293
352	1806.366593
353	1803.563439
