iter	Passed	Remaining
0	149	149354
1	151	75395
2	152	50841
3	155	38793
4	157	31358
5	159	26364
6	160	22806
7	162	20165
8	164	18100
9	166	16447
10	168	15171
11	170	14036
12	172	13078
13	174	12270
14	175	11519
15	177	10898
16	178	10337
17	180	9852
18	183	9472
19	185	9086
20	187	8721
21	188	8393
22	190	8102
23	192	7823
24	194	7571
25	195	7331
26	197	7116
27	199	6924
28	201	6739
29	203	6571
30	205	6409
31	206	6257
32	208	6114
33	210	5974
34	211	5843
35	214	5749
36	216	5637
37	218	5528
38	220	5429
39	222	5333
40	223	5235
41	225	5146
42	227	5065
43	229	4997
44	231	4918
45	233	4845
46	235	4770
47	236	4696
48	238	4625
49	239	4555
50	241	4492
51	243	4432
52	245	4378
53	246	4322
54	248	4272
55	250	4223
56	252	4170
57	253	4121
58	255	4072
59	256	4024
60	258	3980
61	260	3946
62	262	3908
63	264	3870
64	266	3829
65	267	3788
66	269	3748
67	270	3712
68	272	3675
69	273	3638
70	276	3611
71	277	3579
72	279	3547
73	280	3514
74	282	3482
75	283	3452
76	285	3422
77	287	3395
78	288	3367
79	290	3343
80	292	3322
81	294	3298
82	296	3275
83	298	3250
84	299	3227
85	301	3207
86	303	3185
87	305	3169
88	308	3156
89	310	3136
90	312	3118
91	313	3097
92	315	3078
93	317	3058
94	318	3038
95	320	3021
96	323	3007
97	324	2989
98	326	2970
99	328	2953
100	329	2936
101	331	2920
102	333	2903
103	335	2888
104	338	2881
105	340	2868
106	341	2852
107	343	2836
108	345	2823
109	347	2808
110	348	2794
111	350	2780
112	352	2767
113	354	2756
114	356	2743
115	358	2730
116	360	2717
117	361	2704
118	363	2692
119	365	2679
120	367	2668
121	369	2659
122	371	2648
123	373	2635
124	374	2624
125	376	2613
126	378	2602
127	380	2591
128	382	2580
129	384	2570
130	386	2560
131	387	2549
132	389	2538
133	391	2528
134	393	2518
135	394	2508
136	396	2498
137	398	2488
138	400	2481
139	402	2473
140	404	2463
141	406	2454
142	408	2445
143	409	2436
144	411	2427
145	413	2419
146	415	2411
147	417	2403
148	419	2394
149	421	2386
150	422	2377
151	424	2369
152	426	2361
153	428	2352
154	430	2344
155	432	2339
156	434	2330
157	435	2323
158	437	2316
159	439	2308
160	441	2300
161	443	2293
162	445	2285
163	447	2279
164	449	2273
165	451	2266
166	452	2259
167	454	2252
168	456	2245
169	458	2239
170	460	2232
171	462	2227
172	464	2221
173	466	2213
174	468	2207
175	470	2201
176	471	2194
177	473	2188
178	475	2181
179	477	2176
180	479	2170
181	481	2163
182	483	2157
183	484	2150
184	486	2144
185	488	2139
186	490	2133
187	493	2129
188	495	2124
189	497	2119
190	498	2112
191	500	2107
192	502	2101
193	504	2095
194	506	2089
195	508	2084
196	523	2135
197	526	2131
198	528	2126
199	530	2121
200	532	2116
201	534	2111
202	536	2106
203	538	2101
204	540	2096
205	542	2091
206	544	2086
207	546	2080
208	548	2076
209	550	2070
210	552	2064
211	553	2059
212	556	2055
213	558	2051
214	560	2046
215	562	2040
216	563	2035
217	565	2029
218	567	2024
219	569	2019
220	571	2014
221	573	2011
222	575	2006
223	577	2000
224	579	1995
225	581	1990
226	583	1985
227	584	1980
228	586	1975
229	588	1971
230	590	1966
231	592	1961
232	594	1956
233	596	1951
234	597	1946
235	599	1941
236	601	1936
237	603	1932
238	605	1927
239	607	1922
240	609	1918
241	610	1913
242	612	1908
243	614	1904
244	616	1899
245	619	1897
246	620	1892
247	622	1888
248	624	1884
249	626	1879
250	628	1875
251	630	1870
252	632	1866
253	633	1862
254	636	1858
255	637	1853
256	639	1849
257	641	1845
258	643	1841
259	645	1836
260	646	1831
261	648	1827
262	651	1824
263	652	1820
264	654	1815
265	656	1812
266	658	1808
267	660	1803
268	662	1799
269	664	1795
270	666	1792
271	668	1788
272	669	1783
273	671	1779
274	673	1774
275	675	1770
276	676	1766
277	678	1762
278	680	1759
279	682	1755
280	684	1752
281	686	1748
282	688	1745
283	690	1741
284	693	1738
285	694	1734
286	697	1731
287	699	1728
288	701	1725
289	703	1721
290	705	1717
291	706	1714
292	708	1710
293	710	1706
294	713	1704
295	715	1701
296	717	1698
297	719	1694
298	721	1691
299	723	1687
300	725	1684
301	727	1681
302	730	1679
303	731	1675
304	733	1671
305	735	1668
306	737	1664
307	739	1661
308	741	1657
309	743	1655
310	746	1653
311	748	1650
312	750	1648
313	752	1645
314	754	1641
315	756	1638
316	759	1636
317	761	1633
318	763	1630
319	765	1626
320	767	1623
321	769	1620
322	771	1617
323	774	1615
324	776	1612
325	778	1609
326	780	1606
327	782	1602
328	784	1599
329	786	1596
330	788	1593
331	790	1591
332	793	1588
333	795	1585
334	797	1583
335	799	1579
336	801	1576
337	803	1573
338	805	1571
339	808	1568
340	810	1565
341	812	1562
342	814	1559
343	816	1556
344	818	1553
345	820	1551
346	823	1549
347	825	1546
