Dealer,Product,Region,Inventory_Level,Consumption_Pattern,Stock_Movement,Risk_Level,Stockout_Risk,Seasonality,Forecast_Requirement,Alert
Dealer_C,Product_Z,South,812,56,normal,high,False,high_demand,4919,True
Dealer_C,Product_Z,South,73,69,drop,low,False,steady,1874,False
Dealer_D,Product_W,South,308,98,spike,medium,True,steady,9509,True
Dealer_D,Product_W,Central,496,4,spike,low,False,steady,8224,True
Dealer_B,Product_X,Central,227,90,normal,low,False,steady,3740,True
Dealer_B,Product_Z,West,452,90,spike,high,True,high_demand,8289,False
Dealer_C,Product_W,East,491,18,normal,medium,False,steady,1962,False
Dealer_C,Product_Y,North,447,1,drop,high,False,high_demand,467,True
Dealer_A,Product_Z,East,214,136,normal,medium,True,high_demand,5447,True
Dealer_E,Product_X,Central,811,54,normal,high,False,steady,2434,False
Dealer_A,Product_X,West,601,9,drop,low,True,low_demand,8287,True
Dealer_A,Product_W,North,531,1,spike,medium,True,high_demand,9774,True
Dealer_B,Product_V,West,129,63,drop,low,False,steady,8900,False
Dealer_A,Product_X,West,246,61,spike,high,True,high_demand,1444,True
Dealer_D,Product_Z,Central,507,79,normal,medium,False,low_demand,6754,True
Dealer_A,Product_X,Central,124,13,spike,high,False,steady,257,True
Dealer_C,Product_X,Central,250,12,spike,high,False,high_demand,3930,False
Dealer_A,Product_W,East,360,71,drop,medium,False,high_demand,2206,True
Dealer_C,Product_V,East,305,51,normal,low,False,high_demand,6999,False
Dealer_A,Product_Z,West,619,63,spike,low,True,low_demand,3727,True
Dealer_A,Product_V,South,667,44,spike,low,True,steady,9081,False
Dealer_B,Product_Z,North,673,12,drop,low,False,high_demand,5298,True
Dealer_C,Product_V,East,386,46,drop,medium,True,low_demand,655,True
Dealer_A,Product_W,West,519,51,drop,low,True,low_demand,5287,True
Dealer_C,Product_Z,North,395,87,drop,low,False,steady,1517,False
Dealer_B,Product_Z,North,541,78,spike,high,False,steady,472,True
Dealer_A,Product_X,North,740,54,normal,low,True,steady,5298,False
Dealer_E,Product_X,North,406,96,normal,high,False,steady,5501,True
Dealer_D,Product_Z,West,274,94,normal,low,False,steady,6287,True
Dealer_E,Product_Z,East,423,12,drop,medium,True,steady,7702,False
Dealer_B,Product_X,North,924,32,drop,low,False,low_demand,1762,True
Dealer_A,Product_V,Central,137,95,normal,medium,False,high_demand,8788,True
Dealer_A,Product_Z,Central,520,72,drop,high,True,steady,1094,True
