Dealer,Product,Region,Inventory_Level,Consumption_Pattern,Stock_Movement,Risk_Level,Stockout_Risk,Seasonality,Forecast_Requirement,Alert
Dealer_C,Product_Z,South,812.0,56.0,normal,high,False,high_demand,4919.0,True
Dealer_C,Product_Z,South,73.0,69.0,drop,low,False,steady,1874.0,False
Dealer_D,Product_W,South,308.0,98.0,spike,medium,True,steady,9509.0,True
Dealer_D,Product_W,Central,496.0,4.0,spike,low,False,steady,8224.0,True
Dealer_B,Product_X,Central,227.0,90.0,normal,low,False,steady,3740.0,True
Dealer_B,Product_Z,West,452.0,90.0,spike,high,True,high_demand,8289.0,False
Dealer_C,Product_W,East,491.0,18.0,normal,medium,False,steady,1962.0,False
Dealer_C,Product_Y,North,447.0,1.0,drop,high,False,high_demand,467.0,True
Dealer_A,Product_Z,East,214.0,136.0,normal,medium,True,high_demand,5447.0,True
Dealer_E,Product_X,Central,811.0,54.0,normal,high,False,steady,2434.0,False
Dealer_A,Product_X,West,601.0,9.0,drop,low,True,low_demand,8287.0,True
Dealer_A,Product_W,North,531.0,1.0,spike,medium,True,high_demand,9774.0,True
Dealer_B,Product_V,West,129.0,63.0,drop,low,False,steady,8900.0,False
Dealer_A,Product_X,West,246.0,61.0,spike,high,True,high_demand,1444.0,True
Dealer_D,Product_Z,Central,507.0,79.0,normal,medium,False,low_demand,6754.0,True
Dealer_A,Product_X,Central,124.0,13.0,spike,high,False,steady,257.0,True
Dealer_C,Product_X,Central,250.0,12.0,spike,high,False,high_demand,3930.0,False
Dealer_A,Product_W,East,360.0,71.0,drop,medium,False,high_demand,2206.0,True
Dealer_C,Product_V,East,305.0,51.0,normal,low,False,high_demand,6999.0,False
Dealer_A,Product_Z,West,619.0,63.0,spike,low,True,low_demand,3727.0,True
Dealer_A,Product_V,South,667.0,44.0,spike,low,True,steady,9081.0,False
Dealer_B,Product_Z,North,673.0,12.0,drop,low,False,high_demand,5298.0,True
Dealer_C,Product_V,East,386.0,46.0,drop,medium,True,low_demand,655.0,True
Dealer_A,Product_W,West,,,drop,low,True,low_demand,,True
Dealer_C,Product_Z,North,395.0,87.0,drop,low,False,steady,1517.0,False
Dealer_B,Product_Z,North,541.0,78.0,spike,high,False,steady,472.0,True
Dealer_A,Product_X,North,740.0,54.0,normal,low,True,steady,5298.0,False
Dealer_E,Product_X,North,406.0,96.0,normal,high,False,steady,5501.0,True
Dealer_D,Product_Z,West,274.0,94.0,normal,low,False,steady,6287.0,True
Dealer_E,Product_Z,East,423.0,12.0,drop,medium,True,steady,7702.0,False
Dealer_B,Product_X,North,924.0,32.0,drop,low,False,low_demand,1762.0,True
Dealer_A,Product_V,Central,137.0,95.0,normal,medium,False,high_demand,8788.0,True
Dealer_A,Product_Z,Central,520.0,72.0,drop,high,True,steady,1094.0,True
Dealer_A,Product_Y,East,967.0,51.0,spike,medium,False,high_demand,466.0,True
