Dealer_ID,Product_ID,Date,Quantity,Consumption,Location
D000,P000,2022-01-01,62,8,Chicago
D000,P000,2022-01-02,70,9,Chicago
D000,P000,2022-01-03,12,17,Los Angeles
D000,P000,2022-01-04,74,13,Los Angeles
D000,P000,2022-01-05,57,10,Los Angeles
D000,P000,2022-01-06,29,12,Los Angeles
D000,P000,2022-01-07,21,14,New York
D000,P000,2022-01-08,54,15,New York
D000,P000,2022-01-09,48,10,New York
D000,P000,2022-01-10,33,19,New York
D000,P000,2022-01-11,79,11,New York
D000,P000,2022-01-12,82,14,Los Angeles
D000,P000,2022-01-13,61,6,New York
D000,P000,2022-01-14,30,5,Los Angeles
D000,P000,2022-01-15,83,8,Chicago
D000,P000,2022-01-16,66,16,Los Angeles
D000,P000,2022-01-17,61,10,Los Angeles
D000,P000,2022-01-18,72,17,Los Angeles
D000,P000,2022-01-19,18,5,Los Angeles
D000,P000,2022-01-20,42,17,New York
D000,P000,2022-01-21,64,13,Chicago
D000,P000,2022-01-22,29,12,Los Angeles
D000,P000,2022-01-23,29,17,Chicago
D000,P000,2022-01-24,94,12,Chicago
D000,P000,2022-01-25,66,7,Chicago
D000,P000,2022-01-26,86,15,Los Angeles
D000,P000,2022-01-27,86,5,Chicago
D000,P000,2022-01-28,45,9,Chicago
D000,P000,2022-01-29,69,12,Chicago
D000,P000,2022-01-30,74,12,Los Angeles
D000,P000,2022-02-01,71,8,Los Angeles
D000,P000,2022-02-02,14,9,Chicago
D000,P000,2022-02-03,94,7,New York
D000,P000,2022-02-04,42,9,Chicago
D000,P000,2022-02-05,20,11,Los Angeles
D000,P000,2022-02-06,30,5,Los Angeles
D000,P000,2022-02-07,28,16,Chicago
D000,P000,2022-02-08,91,19,Chicago
D000,P000,2022-02-09,25,6,Chicago
D000,P000,2022-02-10,90,15,New York
D000,P000,2022-02-11,98,9,New York
D000,P000,2022-02-12,58,15,New York
D000,P000,2022-02-13,46,7,Chicago
D000,P000,2022-02-14,53,19,Chicago
D000,P000,2022-02-15,94,13,Los Angeles
D000,P000,2022-02-16,16,12,Los Angeles
D000,P000,2022-02-17,49,5,Los Angeles
D000,P000,2022-02-18,79,10,New York
D000,P000,2022-02-19,99,5,Chicago
D000,P000,2022-02-20,94,9,Chicago
D000,P000,2022-02-21,96,6,Chicago
D000,P000,2022-02-22,26,10,Chicago
D000,P000,2022-02-23,20,5,Chicago
D000,P000,2022-02-24,49,11,Chicago
D000,P000,2022-02-25,65,10,New York
D000,P000,2022-02-26,16,7,Los Angeles
D000,P000,2022-02-27,91,14,Chicago
D000,P000,2022-02-28,87,8,Chicago
D000,P000,2022-02-29,93,7,New York
D000,P000,2022-02-30,51,12,New York
D000,P000,2022-03-01,23,5,Los Angeles
D000,P000,2022-03-02,12,8,New York
D000,P000,2022-03-03,55,11,New York
D000,P000,2022-03-04,57,18,New York
D000,P000,2022-03-05,48,14,Los Angeles
D000,P000,2022-03-06,44,5,New York
D000,P000,2022-03-07,39,12,New York
D000,P000,2022-03-08,98,5,Chicago
D000,P000,2022-03-09,11,11,New York
D000,P000,2022-03-10,74,7,Chicago
D000,P000,2022-03-11,92,7,Chicago
D000,P000,2022-03-12,22,6,New York
D000,P000,2022-03-13,53,9,Los Angeles
D000,P000,2022-03-14,87,12,Chicago
D000,P000,2022-03-15,60,12,Los Angeles
D000,P000,2022-03-16,28,10,Chicago
D000,P000,2022-03-17,31,19,Chicago
D000,P000,2022-03-18,18,11,New York
D000,P000,2022-03-19,77,5,Los Angeles
D000,P000,2022-03-20,58,8,New York
D000,P000,2022-03-21,79,9,Los Angeles
D000,P000,2022-03-22,69,11,Chicago
D000,P000,2022-03-23,17,7,New York
D000,P000,2022-03-24,10,17,Los Angeles
D000,P000,2022-03-25,67,10,Chicago
D000,P000,2022-03-26,78,7,Los Angeles
D000,P000,2022-03-27,31,5,New York
D000,P000,2022-03-28,49,17,Los Angeles
D000,P000,2022-03-29,37,11,New York
D000,P000,2022-03-30,86,18,New York
D000,P001,2022-01-01,10,14,Chicago
D000,P001,2022-01-02,39,9,Chicago
D000,P001,2022-01-03,61,14,New York
D000,P001,2022-01-04,94,6,Chicago
D000,P001,2022-01-05,40,6,Los Angeles
D000,P001,2022-01-06,76,17,New York
D000,P001,2022-01-07,19,6,Chicago
D000,P001,2022-01-08,43,12,Los Angeles
D000,P001,2022-01-09,44,5,Los Angeles
D000,P001,2022-01-10,26,6,Los Angeles
D000,P001,2022-01-11,23,6,Chicago
D000,P001,2022-01-12,14,12,New York
D000,P001,2022-01-13,95,10,Chicago
D000,P001,2022-01-14,50,7,Los Angeles
D000,P001,2022-01-15,82,16,New York
D000,P001,2022-01-16,50,9,New York
D000,P001,2022-01-17,97,14,New York
D000,P001,2022-01-18,38,7,Los Angeles
D000,P001,2022-01-19,86,18,New York
D000,P001,2022-01-20,55,12,Los Angeles
D000,P001,2022-01-21,89,11,Los Angeles
D000,P001,2022-01-22,21,9,Los Angeles
D000,P001,2022-01-23,57,12,Los Angeles
